date,draw1,draw2,draw3,draw4,draw5,powerball
2015-01-03 00:00:00 -0500,4,18,43,46,55,25
2014-12-31 00:00:00 -0500,17,27,37,40,53,35
2014-12-27 00:00:00 -0500,7,10,11,14,36,15
2014-12-24 00:00:00 -0500,11,12,46,47,50,22
2014-12-20 00:00:00 -0500,14,15,19,31,56,5
2014-12-17 00:00:00 -0500,22,31,38,47,48,15
2014-12-13 00:00:00 -0500,5,13,28,43,55,33
2014-12-10 00:00:00 -0500,34,44,48,54,55,10
2014-12-06 00:00:00 -0500,12,15,22,43,49,14
2014-12-03 00:00:00 -0500,25,30,32,46,54,26
2014-11-29 00:00:00 -0500,13,24,30,42,48,27
2014-11-26 00:00:00 -0500,16,17,22,46,54,35
2014-11-22 00:00:00 -0500,23,49,53,54,57,35
2014-11-19 00:00:00 -0500,6,36,38,48,51,17
2014-11-15 00:00:00 -0500,13,16,33,35,51,28
2014-11-12 00:00:00 -0500,37,39,51,52,55,11
2014-11-08 00:00:00 -0500,9,19,33,38,54,15
2014-11-05 00:00:00 -0500,2,11,19,21,42,34
2014-11-01 00:00:00 -0400,1,3,13,25,38,17
2014-10-29 00:00:00 -0400,25,28,48,57,59,16
2014-10-25 00:00:00 -0400,6,10,51,54,57,12
2014-10-22 00:00:00 -0400,29,30,40,42,50,16
2014-10-18 00:00:00 -0400,20,26,27,36,54,19
2014-10-15 00:00:00 -0400,5,7,19,27,28,20
2014-10-11 00:00:00 -0400,10,19,37,38,39,28
2014-10-08 00:00:00 -0400,5,16,31,46,50,18
2014-10-04 00:00:00 -0400,13,18,24,25,33,31
2014-10-01 00:00:00 -0400,1,4,18,20,45,7
2014-09-27 00:00:00 -0400,2,11,35,52,54,13
2014-09-24 00:00:00 -0400,7,14,21,24,41,26
2014-09-20 00:00:00 -0400,22,23,30,37,39,16
2014-09-17 00:00:00 -0400,18,25,36,48,50,23
2014-09-13 00:00:00 -0400,1,6,16,37,53,27
2014-09-10 00:00:00 -0400,2,14,39,40,43,13
2014-09-06 00:00:00 -0400,9,29,31,43,50,18
2014-09-03 00:00:00 -0400,2,16,43,45,51,35
2014-08-30 00:00:00 -0400,5,28,31,52,59,27
2014-08-27 00:00:00 -0400,17,24,26,45,46,19
2014-08-23 00:00:00 -0400,28,32,35,36,52,31
2014-08-20 00:00:00 -0400,4,8,21,38,40,3
2014-08-16 00:00:00 -0400,7,8,17,48,59,9
2014-08-13 00:00:00 -0400,8,37,39,40,52,24
2014-08-09 00:00:00 -0400,3,12,31,34,51,24
2014-08-06 00:00:00 -0400,1,8,24,28,49,24
2014-08-02 00:00:00 -0400,12,26,44,46,47,29
2014-07-30 00:00:00 -0400,13,30,42,49,53,29
2014-07-26 00:00:00 -0400,24,28,30,38,39,16
2014-07-23 00:00:00 -0400,4,10,12,22,31,3
2014-07-19 00:00:00 -0400,10,17,25,45,53,9
2014-07-16 00:00:00 -0400,5,15,18,26,32,35
2014-07-12 00:00:00 -0400,2,3,7,23,51,26
2014-07-09 00:00:00 -0400,9,25,42,55,57,14
2014-07-05 00:00:00 -0400,24,34,36,57,58,11
2014-07-02 00:00:00 -0400,8,18,45,53,58,35
2014-06-28 00:00:00 -0400,8,12,34,43,56,9
2014-06-25 00:00:00 -0400,10,20,25,50,53,35
2014-06-21 00:00:00 -0400,5,6,37,41,54,26
2014-06-18 00:00:00 -0400,6,9,29,52,59,7
2014-06-14 00:00:00 -0400,9,33,42,45,54,30
2014-06-11 00:00:00 -0400,14,18,25,33,49,23
2014-06-07 00:00:00 -0400,28,30,35,58,59,15
2014-06-04 00:00:00 -0400,1,7,10,22,49,24
2014-05-31 00:00:00 -0400,15,27,31,34,48,1
2014-05-28 00:00:00 -0400,2,24,28,32,59,25
2014-05-24 00:00:00 -0400,15,16,28,49,55,18
2014-05-21 00:00:00 -0400,4,20,34,39,58,31
2014-05-17 00:00:00 -0400,23,32,39,47,49,22
2014-05-14 00:00:00 -0400,7,33,39,52,55,33
2014-05-10 00:00:00 -0400,4,31,41,47,55,1
2014-05-07 00:00:00 -0400,17,29,31,48,49,34
2014-05-03 00:00:00 -0400,5,15,16,46,49,26
2014-04-30 00:00:00 -0400,2,9,11,19,50,32
2014-04-26 00:00:00 -0400,3,7,22,30,33,20
2014-04-23 00:00:00 -0400,19,25,29,36,48,12
2014-04-19 00:00:00 -0400,5,6,29,35,51,21
2014-04-16 00:00:00 -0400,34,39,42,44,59,8
2014-04-12 00:00:00 -0400,14,26,45,54,55,20
2014-04-09 00:00:00 -0400,9,14,44,48,49,29
2014-04-05 00:00:00 -0400,11,21,26,33,34,29
2014-04-02 00:00:00 -0400,8,13,19,22,53,24
2014-03-29 00:00:00 -0400,2,3,12,27,38,17
2014-03-26 00:00:00 -0400,28,33,41,44,59,21
2014-03-22 00:00:00 -0400,13,28,31,55,58,15
2014-03-19 00:00:00 -0400,2,19,23,34,43,14
2014-03-15 00:00:00 -0400,2,5,34,51,58,9
2014-03-12 00:00:00 -0400,14,15,28,37,54,10
2014-03-08 00:00:00 -0500,10,14,24,32,41,30
2014-03-05 00:00:00 -0500,3,7,9,26,54,19
2014-03-01 00:00:00 -0500,3,8,25,30,47,13
2014-02-26 00:00:00 -0500,11,12,17,38,42,2
2014-02-22 00:00:00 -0500,2,3,13,14,54,4
2014-02-19 00:00:00 -0500,1,17,35,49,54,34
2014-02-15 00:00:00 -0500,2,9,14,21,23,3
2014-02-12 00:00:00 -0500,36,44,49,52,57,1
2014-02-08 00:00:00 -0500,24,25,34,37,54,29
2014-02-05 00:00:00 -0500,8,17,32,57,59,24
2014-02-01 00:00:00 -0500,5,12,15,27,38,7
2014-01-29 00:00:00 -0500,11,23,28,32,47,20
2014-01-25 00:00:00 -0500,8,12,18,55,57,2
2014-01-22 00:00:00 -0500,1,2,7,9,55,29
2014-01-18 00:00:00 -0500,13,14,19,31,38,25
2014-01-15 00:00:00 -0500,7,8,9,24,29,25
2014-01-11 00:00:00 -0500,10,15,33,48,54,34
2014-01-08 00:00:00 -0500,10,28,39,47,58,22
2014-01-04 00:00:00 -0500,19,20,37,41,58,14
2014-01-01 00:00:00 -0500,15,24,40,48,52,23
2013-12-28 00:00:00 -0500,8,35,44,51,56,18
2013-12-25 00:00:00 -0500,23,28,38,39,56,32
2013-12-21 00:00:00 -0500,25,36,40,45,51,8
2013-12-18 00:00:00 -0500,7,24,37,39,40,1
2013-12-14 00:00:00 -0500,14,25,32,33,41,34
2013-12-11 00:00:00 -0500,1,10,13,18,19,27
2013-12-07 00:00:00 -0500,13,20,32,45,48,17
2013-12-04 00:00:00 -0500,6,9,11,31,44,25
2013-11-30 00:00:00 -0500,5,26,44,45,57,29
2013-11-27 00:00:00 -0500,18,25,50,55,57,17
2013-11-23 00:00:00 -0500,5,12,43,52,55,10
2013-11-20 00:00:00 -0500,4,18,23,32,45,7
2013-11-16 00:00:00 -0500,10,29,37,44,59,10
2013-11-13 00:00:00 -0500,5,31,50,55,56,9
2013-11-09 00:00:00 -0500,3,9,37,49,56,32
2013-11-06 00:00:00 -0500,1,5,10,15,49,22
2013-11-02 00:00:00 -0400,13,23,24,27,40,17
2013-10-30 00:00:00 -0400,2,36,40,49,54,10
2013-10-26 00:00:00 -0400,4,6,34,49,56,29
2013-10-23 00:00:00 -0400,3,23,31,34,47,13
2013-10-19 00:00:00 -0400,9,33,54,56,57,5
2013-10-16 00:00:00 -0400,3,26,28,34,42,28
